id,commonName,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper
GW191219_163120-v1,GW191219_163120,31.1,-2.8,2.2,1.17,-0.06,0.07,32.3,-2.7,2.2
GW191222_033537-v1,GW191222_033537,45.1,-8,10.9,34.7,-10.5,9.3,79,-11,16
GW191230_180458-v1,GW191230_180458,49.4,-9.6,14,37,-12,11,86,-12,19
GW200112_155838-v1,GW200112_155838,35.6,-4.5,6.7,28.3,-5.9,4.4,63.9,-4.6,5.7
GW200115_042309-v2,GW200115_042309,5.9,-2.5,2,1.44,-0.29,0.85,7.4,-1.7,1.8
GW200128_022011-v1,GW200128_022011,42.2,-8.1,11.6,32.6,-9.2,9.5,75,-12,17
GW200129_065458-v1,GW200129_065458,34.5,-3.2,9.9,28.9,-9.3,3.4,63.4,-3.6,4.3
GW200202_154313-v1,GW200202_154313,10.1,-1.4,3.5,7.3,-1.7,1.1,17.58,-0.67,1.78
GW200208_130117-v1,GW200208_130117,37.8,-6.2,9.2,27.4,-7.4,6.1,65.4,-6.8,7.8
GW200208_222617-v1,GW200208_222617,51,-30,104,12.3,-5.7,9,63,-25,100
GW200209_085452-v1,GW200209_085452,35.6,-6.8,10.5,27.1,-7.8,7.8,62.6,-9.4,13.9
GW200210_092254-v1,GW200210_092254,24.1,-4.6,7.5,2.83,-0.42,0.47,27,-4.3,7.1
GW200216_220804-v1,GW200216_220804,51,-13,22,30,-16,14,81,-14,20
GW200219_094415-v1,GW200219_094415,37.5,-6.9,10.1,27.9,-8.4,7.4,65,-8.2,12.6
GW200220_061928-v1,GW200220_061928,87,-23,40,61,-25,26,148,-33,55
GW200220_124850-v1,GW200220_124850,38.9,-8.6,14.1,27.9,-9,9.2,67,-12,17
GW200224_222234-v1,GW200224_222234,40,-4.5,6.9,32.5,-7.2,5,72.2,-5.1,7.2
GW200225_060421-v1,GW200225_060421,19.3,-3,5,14,-3.5,2.8,33.5,-3,3.6
GW200302_015811-v1,GW200302_015811,37.8,-8.5,8.7,20,-5.7,8.1,57.8,-6.9,9.6
GW200306_093714-v1,GW200306_093714,28.3,-7.7,17.1,14.8,-6.4,6.5,43.9,-7.5,11.8
GW200308_173609-v1,GW200308_173609,36.4,-9.6,11.2,13.8,-3.3,7.2,50.6,-8.5,10.9
GW200311_115853-v1,GW200311_115853,34.2,-3.8,6.4,27.7,-5.9,4.1,61.9,-4.2,5.3
GW200316_215756-v1,GW200316_215756,13.1,-2.9,10.2,7.8,-2.9,1.9,21.2,-2,7.2
GW200322_091133-v1,GW200322_091133,34,-18,48,14,-8.7,16.8,55,-27,37
